iter	MultiClass
0	1.341765277
1	1.040514688
2	0.8958009853
3	0.767595174
4	0.6989367803
5	0.6245093988
6	0.5475260469
7	0.4920616741
8	0.4526629764
9	0.4129016912
10	0.3761659795
11	0.3449107618
12	0.3225697431
13	0.297939802
14	0.2740835851
15	0.2566171913
16	0.2398617352
17	0.2292832892
18	0.2147661169
19	0.2058747055
20	0.1947999904
21	0.1838591261
22	0.1751011844
23	0.1660867875
24	0.1575127497
25	0.1514283578
26	0.1424813568
27	0.1364972679
28	0.129635872
29	0.1236980623
30	0.1180561956
31	0.1136750026
32	0.1090870475
33	0.1056737534
34	0.1013374201
35	0.09806757709
36	0.09402520684
37	0.09040929248
38	0.08760196799
39	0.08475745876
40	0.08273768527
41	0.07986954064
42	0.078259284
43	0.07597147124
44	0.07451218979
45	0.07195497289
46	0.07034877318
47	0.06905844974
48	0.06740601307
49	0.06550589349
50	0.06374969966
51	0.06251614932
52	0.0611659977
53	0.05948248089
54	0.05838490147
55	0.05725305547
56	0.05637872294
57	0.05481330775
58	0.05371976084
59	0.05268503233
60	0.0516159731
61	0.05043097846
62	0.04962088122
63	0.04834620187
64	0.04798522314
65	0.04717378735
66	0.0466546738
67	0.04594791588
68	0.04497870546
69	0.04457412825
70	0.04409353438
71	0.04323378082
72	0.04245456848
73	0.04218939017
74	0.0416070945
75	0.04075790065
76	0.03997630973
77	0.03930828305
78	0.03877824168
79	0.03814592075
80	0.0377091361
81	0.03725648894
82	0.03690118994
83	0.03659917153
84	0.03612359079
85	0.0356904992
86	0.03512847987
87	0.03481680467
88	0.03456181917
89	0.03432526977
90	0.03409410208
91	0.03368962744
92	0.03333831425
93	0.03295080199
94	0.03246937124
95	0.03216366999
96	0.03184374064
97	0.03146670569
98	0.03123326926
99	0.03098277623
100	0.03041824351
101	0.03022219615
102	0.02994965213
103	0.0294514211
104	0.02905073628
105	0.02885350971
106	0.02857375918
107	0.0282152031
108	0.02809957257
109	0.0278271143
110	0.02754456485
111	0.02737757519
112	0.02710059967
113	0.02683671139
114	0.02674651563
115	0.02659777616
116	0.02654103694
117	0.02623212058
118	0.02606883036
119	0.02578506369
120	0.02572559496
121	0.02531654257
122	0.02518679523
123	0.02498839344
124	0.02478412433
125	0.02471830937
126	0.02466187488
127	0.02451047235
128	0.0242260544
129	0.02398504374
130	0.02366916994
131	0.02349586091
132	0.02330070072
133	0.0231991459
134	0.02300232163
135	0.02282181887
136	0.02274871008
137	0.02261386792
138	0.02248941818
139	0.02229664436
140	0.02205774113
141	0.02181269438
142	0.02176446018
143	0.02161831827
144	0.0215141187
145	0.02133981624
146	0.02108926042
147	0.02104744532
148	0.02095072615
149	0.02088234877
150	0.02084579486
151	0.02067266239
152	0.02050436485
153	0.02042254844
154	0.02031388631
155	0.020268034
156	0.0202040961
157	0.02003513113
158	0.019935257
159	0.01981649012
160	0.01968477674
161	0.01956418391
162	0.01943937866
163	0.01934665785
164	0.01911233386
165	0.01899635352
166	0.01881280005
167	0.01863331464
168	0.01855019177
169	0.01835405717
