hand1_x0,hand1_y0,hand1_z0,hand1_x1,hand1_y1,hand1_z1,hand1_x2,hand1_y2,hand1_z2,hand1_x3,hand1_y3,hand1_z3,hand1_x4,hand1_y4,hand1_z4,hand1_x5,hand1_y5,hand1_z5,hand1_x6,hand1_y6,hand1_z6,hand1_x7,hand1_y7,hand1_z7,hand1_x8,hand1_y8,hand1_z8,hand1_x9,hand1_y9,hand1_z9,hand1_x10,hand1_y10,hand1_z10,hand1_x11,hand1_y11,hand1_z11,hand1_x12,hand1_y12,hand1_z12,hand1_x13,hand1_y13,hand1_z13,hand1_x14,hand1_y14,hand1_z14,hand1_x15,hand1_y15,hand1_z15,hand1_x16,hand1_y16,hand1_z16,hand1_x17,hand1_y17,hand1_z17,hand1_x18,hand1_y18,hand1_z18,hand1_x19,hand1_y19,hand1_z19,hand1_x20,hand1_y20,hand1_z20,hand2_x0,hand2_y0,hand2_z0,hand2_x1,hand2_y1,hand2_z1,hand2_x2,hand2_y2,hand2_z2,hand2_x3,hand2_y3,hand2_z3,hand2_x4,hand2_y4,hand2_z4,hand2_x5,hand2_y5,hand2_z5,hand2_x6,hand2_y6,hand2_z6,hand2_x7,hand2_y7,hand2_z7,hand2_x8,hand2_y8,hand2_z8,hand2_x9,hand2_y9,hand2_z9,hand2_x10,hand2_y10,hand2_z10,hand2_x11,hand2_y11,hand2_z11,hand2_x12,hand2_y12,hand2_z12,hand2_x13,hand2_y13,hand2_z13,hand2_x14,hand2_y14,hand2_z14,hand2_x15,hand2_y15,hand2_z15,hand2_x16,hand2_y16,hand2_z16,hand2_x17,hand2_y17,hand2_z17,hand2_x18,hand2_y18,hand2_z18,hand2_x19,hand2_y19,hand2_z19,hand2_x20,hand2_y20,hand2_z20,hand1_present,hand2_present,wrist_dx,wrist_dy,wrist_distance,quality_score,label
0.0,0.0,0.0,0.13837309181690216,-0.17041417956352234,-0.06390183418989182,0.12291717529296875,-0.36748790740966797,-0.1769315004348755,-0.0750359445810318,-0.45336517691612244,-0.2983996868133545,-0.2737702429294586,-0.4229089915752411,-0.4087149202823639,0.20654010772705078,-0.3127785325050354,-0.38207241892814636,-0.008847676217556,-0.5512382388114929,-0.4959763288497925,-0.09657195210456848,-0.6888231635093689,-0.5609455108642578,-0.16073451936244965,-0.7866954803466797,-0.5990859270095825,0.038896672427654266,-0.2130206674337387,-0.4244767129421234,-0.2321854829788208,-0.44844603538513184,-0.5606536865234375,-0.19837789237499237,-0.38936853408813477,-0.5496869087219238,-0.12142368406057358,-0.3110513985157013,-0.5382598042488098,-0.1471801996231079,-0.12689875066280365,-0.45767900347709656,-0.38100600242614746,-0.3359525203704834,-0.5502000451087952,-0.31132104992866516,-0.301866739988327,-0.46800073981285095,-0.21059168875217438,-0.21953226625919342,-0.42551109194755554,-0.3168818950653076,-0.05230189859867096,-0.4820338785648346,-0.4427972435951233,-0.24164417386054993,-0.5427411198616028,-0.37252339720726013,-0.20174893736839294,-0.47620755434036255,-0.30294233560562134,-0.14053981006145477,-0.4280361533164978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,100,!
0.0,0.0,0.0,0.1821037977933883,-0.1511054635047912,0.0557918809354305,0.3731549382209778,-0.1517887860536575,0.0423657298088073,0.505897045135498,-0.0278097875416278,0.0202610623091459,0.5797939896583557,0.1166448667645454,-0.0018331488827243,0.4735863804817199,-0.192926675081253,-0.1006319001317024,0.7118403315544128,-0.0473392829298973,-0.1630786657333374,0.8574784398078918,0.037740483880043,-0.1968544274568557,0.9720484614372252,0.0828657671809196,-0.2196699976921081,0.4243791997432709,-0.0421920418739318,-0.1499397456645965,0.6320239305496216,0.2769129574298858,-0.1842793375253677,0.5412843227386475,0.3264352083206177,-0.154501587152481,0.4633267223834991,0.258817970752716,-0.1338574886322021,0.3501976132392883,0.1464767903089523,-0.1881047934293747,0.5279214382171631,0.4553992450237274,-0.1967919617891311,0.4437007904052734,0.458788126707077,-0.1240353882312774,0.3713922500610351,0.3779798746109009,-0.0802026093006134,0.2664872407913208,0.3290329575538635,-0.2225592732429504,0.4146689474582672,0.6040970087051392,-0.2170339673757553,0.3494159877300262,0.5826717019081116,-0.1571293473243713,0.2909696698188782,0.4994225800037384,-0.1158508881926536,0.0,0.0,0.0,-0.1626897007226944,-0.2350044399499893,-0.0658824518322944,-0.3584680259227752,-0.3170506656169891,-0.0852333083748817,-0.5390630960464478,-0.2078729420900344,-0.098230630159378,-0.6924063563346863,-0.1774710565805435,-0.1163925155997276,-0.3888927400112152,0.1329333782196045,0.007279775571078,-0.492315262556076,0.4052706658840179,0.0038273129612207,-0.52555251121521,0.542011022567749,-0.0220304224640131,-0.5596890449523926,0.6610875725746155,-0.0452434383332729,-0.3286785781383514,0.3006223738193512,0.01976297236979,-0.3869296312332153,0.4986992478370666,0.0120610380545258,-0.4412655830383301,0.5835980176925659,-0.0435005240142345,-0.4755944013595581,0.6529779434204102,-0.0899639725685119,-0.2806009352207184,0.3892755806446075,0.0257651600986719,-0.3323229551315307,0.5764258503913879,-0.0025768659543246,-0.3768389523029327,0.6758730411529541,-0.045420940965414,-0.4160268008708954,0.7532739043235779,-0.0754147097468376,-0.239810436964035,0.4174992144107818,0.0284404400736093,-0.2923727333545685,0.6599931120872498,-0.001926667173393,-0.318610280752182,0.8195803761482239,-0.0108777144923806,-0.3439314067363739,0.93889319896698,-0.0138078341260552,1,1,0.897031843662262,-0.2443274706602096,0.929710729992578,100,F
0.0,0.0,0.0,0.2305220514535904,0.0633571967482566,-0.059744156897068,0.4214935004711151,0.1847060173749923,-0.1136556640267372,0.5649992823600769,0.2689445912837982,-0.1699592322111129,0.6803206205368042,0.3489834666252136,-0.2260046750307083,0.3626560866832733,0.4658757150173187,-0.0976575091481208,0.6140097379684448,0.5526126027107239,-0.2375788539648056,0.7734383940696716,0.4834927022457123,-0.3454917371273041,0.8296889662742615,0.390513002872467,-0.3988932073116302,0.2842645645141601,0.4724528193473816,-0.1281420439481735,0.5448703765869141,0.5423285365104675,-0.2484468817710876,0.7092813849449158,0.4494681060314178,-0.3204517364501953,0.7469539046287537,0.334067702293396,-0.3488330245018005,0.1881572902202606,0.4330612421035766,-0.1693598181009292,0.4423567056655884,0.4865487217903137,-0.269277274608612,0.5951934456825256,0.390479564666748,-0.2967409789562225,0.6271067261695862,0.3010113835334778,-0.2955957055091858,0.0781310424208641,0.3589652478694916,-0.2156453430652618,0.2945433259010315,0.3713659942150116,-0.305885910987854,0.4280577898025512,0.3009138703346252,-0.316123217344284,0.4637444615364074,0.2338881939649582,-0.2992605566978454,0.0,0.0,0.0,0.0153969703242182,0.0940118208527565,-0.1115761846303939,-0.0316919535398483,0.1397478431463241,-0.2245492190122604,-0.1393068879842758,0.1597412228584289,-0.3207820951938629,-0.2794855237007141,0.1629066914319992,-0.4165040850639343,-0.0043958872556686,-0.0684101432561874,-0.3004904091358185,-0.3068973422050476,-0.0692460909485817,-0.4458790719509125,-0.5242139101028442,-0.0332799553871154,-0.5523464679718018,-0.7095673680305481,-0.0109707927331328,-0.6201302409172058,-0.0511363558471202,-0.146838828921318,-0.3001314103603363,-0.3908843100070953,-0.1104299873113632,-0.432644248008728,-0.6472657918930054,-0.0448581203818321,-0.4915798008441925,-0.8390029072761536,0.0014772699214518,-0.5441250205039978,-0.1046697869896888,-0.164464995265007,-0.2969301044940948,-0.4230729639530182,-0.1101031303405761,-0.418033093214035,-0.621757984161377,-0.0555026456713676,-0.4210730195045471,-0.7696331143379211,-0.0241751074790954,-0.4180698990821838,-0.1841852217912674,-0.1314716637134552,-0.301578938961029,-0.438590407371521,-0.0944757983088493,-0.3636943101882934,-0.5935152173042297,-0.0416291467845439,-0.3429320454597473,-0.7018401026725769,0.0021870236378163,-0.3305079638957977,1,1,0.4680802822113037,-0.2329918444156646,0.5228616931457372,85,O
0.0,0.0,0.0,-0.12634457647800446,-0.037284545600414276,-0.20524120330810547,-0.2646690309047699,-0.15813064575195312,-0.28104186058044434,-0.37353071570396423,-0.2641623318195343,-0.29675471782684326,-0.43579694628715515,-0.35162755846977234,-0.32366418838500977,-0.1681424230337143,-0.24684911966323853,-0.40543419122695923,-0.21329788863658905,-0.4772135019302368,-0.5295853614807129,-0.2348555326461792,-0.6237369775772095,-0.6094368100166321,-0.24001167714595795,-0.736148476600647,-0.661697506904602,-0.08190374821424484,-0.2931838631629944,-0.30388498306274414,-0.308114230632782,-0.48734647035598755,-0.3729129135608673,-0.4874025583267212,-0.5844153761863708,-0.41342222690582275,-0.5961371064186096,-0.6745918989181519,-0.4289705455303192,-0.03578785061836243,-0.31767669320106506,-0.19653180241584778,-0.281791090965271,-0.4559004306793213,-0.2548564672470093,-0.4104993939399719,-0.44006580114364624,-0.26186084747314453,-0.45850488543510437,-0.43190091848373413,-0.24302077293395996,-0.00525997020304203,-0.34869882464408875,-0.12641610205173492,-0.20479357242584229,-0.41822466254234314,-0.17151738703250885,-0.282110333442688,-0.40053388476371765,-0.17049631476402283,-0.2888680100440979,-0.365134596824646,-0.1636119782924652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,100,Y
0.0,0.0,0.0,0.0245100948959589,0.1808520257472992,0.0081628784537315,0.0757030546665191,0.351021945476532,-0.0423547849059104,0.0697547122836113,0.5044870376586914,-0.1196481809020042,0.0697791427373886,0.6278204321861267,-0.1872197240591049,0.4412120282649994,0.3223020732402801,-0.018515720963478,0.6436500549316406,0.5013105273246765,-0.1221008226275444,0.6509662866592407,0.6140727400779724,-0.1836669743061065,0.6334074139595032,0.6699864268302917,-0.2055367231369018,0.4238750040531158,0.3121830821037292,-0.0785887688398361,0.405691385269165,0.6231777667999268,-0.177646204829216,0.3687378466129303,0.7795820236206055,-0.2241023182868957,0.3796634674072265,0.8936554789543152,-0.2392398118972778,0.3473165929317474,0.3048226237297058,-0.1441437155008316,0.2141207009553909,0.6096656322479248,-0.2514874339103699,0.1025235056877136,0.5370321869850159,-0.2430160194635391,0.0866576805710792,0.4340881407260895,-0.2042531073093414,0.2303910851478576,0.3199039399623871,-0.2096810489892959,0.080577328801155,0.549737274646759,-0.2683291733264923,-0.0041310861706733,0.4869911968708038,-0.2359161227941513,-0.0020190430805087,0.3934632241725921,-0.1917270720005035,0.0,0.0,0.0,-0.1148942708969116,-0.126068890094757,-0.0152864661067724,-0.3001648783683777,-0.1673673540353775,-0.0798171386122703,-0.4610107541084289,-0.1125832423567771,-0.1469775885343551,-0.5670179128646851,-0.0324647799134254,-0.2283193618059158,-0.3639121055603027,-0.2855706214904785,-0.1588369160890579,-0.5619189143180847,-0.3361146748065948,-0.2514798641204834,-0.6868763566017151,-0.4160844087600708,-0.312925785779953,-0.7908391356468201,-0.4929432868957519,-0.3627402484416961,-0.3156981766223907,-0.2051471769809723,-0.2022972702980041,-0.6042879819869995,-0.036796148866415,-0.2811175286769867,-0.5319041013717651,0.0366602130234241,-0.2712016403675079,-0.4475245177745819,0.0187164600938558,-0.2671237587928772,-0.2687012553215027,-0.0730986669659614,-0.2436703145503997,-0.5293447375297546,0.0989644601941108,-0.3085726201534271,-0.4470278620719909,0.120982214808464,-0.2546800374984741,-0.3611948788166046,0.0757801905274391,-0.2207223773002624,-0.2197392135858535,0.067494548857212,-0.2862350940704345,-0.453069806098938,0.1835080236196518,-0.3408584296703338,-0.3853958249092102,0.1880250424146652,-0.3014079630374908,-0.3050794899463653,0.1497668027877807,-0.2691203951835632,1,1,0.8242656737565994,0.7634521722793579,1.123509288030807,100,R
0.0,0.0,0.0,-0.14726412296295166,-0.284101277589798,-0.020819522440433502,-0.340378075838089,-0.3781270384788513,-0.0163950864225626,-0.47939062118530273,-0.285618394613266,0.006730370689183474,-0.5532181262969971,-0.16481517255306244,0.03950846567749977,-0.49025383591651917,-0.1402490884065628,-0.10281900316476822,-0.7518919706344604,-0.14109978079795837,-0.11139975488185883,-0.9060506820678711,-0.13344012200832367,-0.1086258664727211,-1.0160002708435059,-0.1313880831003189,-0.10798420757055283,-0.46150344610214233,0.06293541193008423,-0.0804632380604744,-0.656802773475647,0.04283906891942024,-0.06035469472408295,-0.6260697245597839,-0.025528186932206154,-0.0480024479329586,-0.5453077554702759,-0.051871154457330704,-0.040879134088754654,-0.3808700740337372,0.21730352938175201,-0.05432473123073578,-0.5364623665809631,0.13245819509029388,-0.030208634212613106,-0.48455414175987244,0.04785449430346489,-0.02579590491950512,-0.4217485189437866,0.00841017160564661,-0.02386671118438244,-0.32025644183158875,0.3110072910785675,-0.04170335829257965,-0.42891085147857666,0.2276710867881775,-0.01988152600824833,-0.39477774500846863,0.14754033088684082,-0.01733129657804966,-0.3422911763191223,0.11921321600675583,-0.005475554149597883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,100,A
0.0,0.0,0.0,0.0714127942919731,-0.3040676414966583,-0.0209157466888427,0.2326290607452392,-0.4379272162914276,-0.030324662104249,0.3755027055740356,-0.3941428661346435,-0.0327355302870273,0.4387918710708618,-0.3065381944179535,-0.0355003848671913,0.3206349611282348,-0.3691560626029968,-0.0867917984724044,0.5367081165313721,-0.5301547646522522,-0.1155854612588882,0.6518760919570923,-0.607691764831543,-0.122337132692337,0.7406964302062988,-0.660386860370636,-0.1235231012105941,0.3666092157363891,-0.1954909265041351,-0.0819616466760635,0.5773828625679016,-0.3798852860927582,-0.0986922979354858,0.6771847009658813,-0.4880187511444092,-0.0930974781513214,0.7466371059417725,-0.5480672121047974,-0.0864509716629982,0.381974309682846,-0.0382595025002956,-0.0732221826910972,0.4950959682464599,-0.1908772885799408,-0.0899551510810852,0.44105264544487,-0.2331521213054657,-0.0801478773355484,0.3676578104496002,-0.2236322611570358,-0.0644793957471847,0.3800951838493347,0.0911473706364631,-0.0656757727265358,0.4365823268890381,-0.0637871772050857,-0.0754661634564399,0.393676608800888,-0.1139836683869361,-0.0630276128649711,0.3406314551830292,-0.1051990091800689,-0.0456336140632629,0.0,0.0,0.0,0.1040244698524475,-0.1627572178840637,-0.0249748863279819,0.1067719608545303,-0.3690281808376312,-0.0650667920708656,0.0242451690137386,-0.5031676888465881,-0.0995699614286422,-0.064269408583641,-0.5731359720230103,-0.139432668685913,0.0400896146893501,-0.4045247137546539,-0.1560964584350586,-0.0168930441141128,-0.6717405915260315,-0.2104824483394622,-0.0536270700395107,-0.8191006183624268,-0.2369240969419479,-0.0847598984837532,-0.9365463256835938,-0.2529234588146209,-0.0591586343944072,-0.3565808534622192,-0.1678555607795715,-0.0964871048927307,-0.6593683958053589,-0.2214711010456085,-0.1233661398291587,-0.8379359245300293,-0.2386286407709121,-0.1544206440448761,-0.9554868340492249,-0.2513944804668426,-0.1476833820343017,-0.2850569784641266,-0.1692372113466262,-0.1916421949863433,-0.5178794264793396,-0.1978791952133178,-0.1531484127044677,-0.4744527339935303,-0.1616171151399612,-0.1200607940554618,-0.3913399577140808,-0.1325394511222839,-0.2184547632932663,-0.2074926942586898,-0.1722075641155243,-0.2442129403352737,-0.4010376632213592,-0.1809031516313552,-0.209329292178154,-0.3809397220611572,-0.1418264359235763,-0.1826258301734924,-0.3202483057975769,-0.1104303002357482,1,1,0.6964684724807739,0.1110340356826782,0.7052637026245465,100,K
0.0,0.0,0.0,-0.2433769553899765,-0.143922209739685,0.0752537101507186,-0.4179767966270447,-0.3260127305984497,0.0681952238082885,-0.5599087476730347,-0.4118510484695434,0.0175722055137157,-0.6779219508171082,-0.5365534424781799,-0.032546579837799,-0.1729405671358108,-0.7400732040405273,0.1512597352266311,-0.3726769387722015,-0.8633061051368713,0.0718942284584045,-0.5446175932884216,-0.7916006445884705,-0.0131428623571991,-0.6442605257034302,-0.6778227686882019,-0.066117987036705,-0.0977726131677627,-0.7679799199104309,0.0465500652790069,-0.3454474508762359,-0.9323757290840148,-0.0293465238064527,-0.5437120795249939,-0.8329218626022339,-0.1030453890562057,-0.6385369896888733,-0.6891406774520874,-0.1465233713388443,-0.0547533854842186,-0.7316089272499084,-0.0706448927521705,-0.2916842401027679,-0.9243612289428712,-0.1389957815408706,-0.5083146095275879,-0.8398471474647522,-0.1698196828365326,-0.6237044930458069,-0.7185384631156921,-0.179945483803749,-0.0547287799417972,-0.6283092498779297,-0.1868265867233276,-0.2515110969543457,-0.8018744587898254,-0.2472197413444519,-0.4282452464103699,-0.8063125610351562,-0.2668602764606476,-0.5434077978134155,-0.7588737607002258,-0.2705458104610443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,100,_
0.0,0.0,0.0,0.09815841913223267,-0.2808372676372528,-0.02043185569345951,0.2702953815460205,-0.3979697525501251,-0.026019824668765068,0.42677873373031616,-0.35525038838386536,-0.02545301802456379,0.493902325630188,-0.2761380672454834,-0.028685931116342545,0.36550745368003845,-0.3314715623855591,-0.09019321948289871,0.6134612560272217,-0.4658779203891754,-0.11264269798994064,0.7321348786354065,-0.5291974544525146,-0.12016291916370392,0.8188228011131287,-0.5686503648757935,-0.11306754499673843,0.40291905403137207,-0.1534842699766159,-0.0844687670469284,0.6482171416282654,-0.30285564064979553,-0.09338704496622086,0.7509944438934326,-0.4080125689506531,-0.08268632739782333,0.8185369968414307,-0.4641631543636322,-0.0693969801068306,0.40520209074020386,0.004796494729816914,-0.08203019201755524,0.5436459183692932,-0.12262122333049774,-0.08171285688877106,0.48758649826049805,-0.1550232321023941,-0.06213787943124771,0.4131019711494446,-0.15101048350334167,-0.05431041494011879,0.39327529072761536,0.1391511857509613,-0.06357395648956299,0.4500289857387543,-0.008354405872523785,-0.06704672425985336,0.41758015751838684,-0.040553752332925797,-0.06741023063659668,0.3556240200996399,-0.035826705396175385,-0.035447921603918076,0.0,0.0,0.0,0.11558568477630615,-0.15877598524093628,-0.03037075884640217,0.1206105574965477,-0.3630438446998596,-0.08459711074829102,0.05155256763100624,-0.49570608139038086,-0.11646019667387009,-0.026375524699687958,-0.5626999139785767,-0.1613445281982422,0.0545659139752388,-0.3774273991584778,-0.18138301372528076,0.021194592118263245,-0.6582736372947693,-0.24187900125980377,0.004123724065721035,-0.8049663305282593,-0.2633029818534851,-0.02085462398827076,-0.9311604499816895,-0.2797168791294098,-0.04765770956873894,-0.32384413480758667,-0.1817697286605835,-0.0703432559967041,-0.6384204030036926,-0.23676341772079468,-0.08064820617437363,-0.8142783641815186,-0.2603157162666321,-0.1076178327202797,-0.9602829813957214,-0.2738245725631714,-0.13471925258636475,-0.27832433581352234,-0.1713702231645584,-0.14292991161346436,-0.5056781768798828,-0.2059956043958664,-0.0902455598115921,-0.47510233521461487,-0.16560646891593933,-0.061134107410907745,-0.4068119525909424,-0.1451961249113083,-0.20454102754592896,-0.22535990178585052,-0.17662371695041656,-0.18922282755374908,-0.4148849546909332,-0.1887744665145874,-0.1530514359474182,-0.4010799825191498,-0.15314072370529175,-0.12042883038520813,-0.3394870162010193,-0.1245357021689415,1,1,0.7420728838447798,0.1389894960665113,0.7549769830627493,100,K
0.0,0.0,0.0,-0.2198929786682129,0.07515239715576172,-0.017458926886320114,-0.458578884601593,0.08863039314746857,-0.0766499862074852,-0.630879282951355,0.10224191844463348,-0.14017318189144135,-0.7321443557739258,0.0817231759428978,-0.21086762845516205,-0.48239144682884216,-0.2747206389904022,-0.07758700102567673,-0.6641901731491089,-0.3667067885398865,-0.1695093810558319,-0.8147033452987671,-0.35266631841659546,-0.22719025611877441,-0.9234859347343445,-0.3133081793785095,-0.2685045897960663,-0.3990078866481781,-0.32759803533554077,-0.12383659929037094,-0.6411715745925903,-0.14737212657928467,-0.23743471503257751,-0.5459595918655396,-0.018295956775546074,-0.23531153798103333,-0.43751680850982666,-0.0013050908455625176,-0.21983976662158966,-0.29297393560409546,-0.31317850947380066,-0.17258794605731964,-0.5246766209602356,-0.10425965487957001,-0.30054041743278503,-0.3840150833129883,-0.0096608716994524,-0.24122531712055206,-0.2787713408470154,-0.012459109537303448,-0.17315423488616943,-0.19883586466312408,-0.2689563035964966,-0.2372371256351471,-0.38548794388771057,-0.07047640532255173,-0.3417617976665497,-0.2838275134563446,0.0067627620883286,-0.3079186975955963,-0.1875673234462738,-0.012515383772552013,-0.2694123685359955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,100,+
